"RowID","State","Account length","Area code","International plan","Voice mail plan","Number vmail messages","Total day minutes","Total day calls","Total day charge","Total eve minutes","Total eve calls","Total eve charge","Total night minutes","Total night calls","Total night charge","Total intl minutes","Total intl calls","Total intl charge","Customer service calls","Churn","DayChargePerMinute","EveChargePerMinute","NightChargePerMinute","IntChargePerMinute","SampleFlag"
"1865","VA","43","408","false","true","35","200.2","105","34.03","244.4","88","20.77","207.2","97","9.32","11.6","4","3.13","3","false","0.16998001998002","0.0849836333878887","0.044980694980695","0.269827586206897","Training"
"1662","PA","65","415","false","true","23","224.2","106","38.11","189.6","100","16.12","222.8","75","10.03","9.8","4","2.65","0","false","0.169982158786798","0.0850210970464135","0.0450179533213644","0.270408163265306","Training"
"1981","NC","182","415","false","false","0","279.5","118","47.52","203.2","113","17.27","174.2","101","7.84","10.7","4","2.89","2","true","0.170017889087657","0.084990157480315","0.0450057405281286","0.270093457943925","Training"
"314","OH","84","408","false","false","0","159.5","125","27.12","247.1","90","21","187.9","82","8.46","7.2","4","1.94","2","false","0.170031347962382","0.084985835694051","0.0450239489089942","0.269444444444444","Training"
"2140","NJ","88","415","false","false","0","301.5","136","51.26","257.7","72","21.9","132.9","118","5.98","13.4","2","3.62","4","true","0.170016583747927","0.0849825378346915","0.0449962377727615","0.270149253731343","Training"
"380","NV","78","408","false","false","0","75","116","12.75","248.7","87","21.14","176","83","7.92","9.5","6","2.57","3","false","0.17","0.0850020104543627","0.045","0.270526315789474","Training"
"107","NE","131","408","false","true","36","214.2","115","36.41","161.7","117","13.74","264.7","102","11.91","9.5","4","2.57","3","false","0.169981325863679","0.0849721706864564","0.0449943332074046","0.270526315789474","Training"
"2253","MI","76","510","false","false","0","90.5","142","15.39","211.7","75","17.99","194.9","76","8.77","9.3","2","2.51","1","false","0.170055248618785","0.0849787435049598","0.0449974345818368","0.26989247311828","Training"
"1860","IL","71","415","false","false","0","207","112","35.19","173.8","96","14.77","178.4","61","8.03","12.1","3","3.27","1","false","0.17","0.0849827387802071","0.0450112107623318","0.270247933884298","Training"
"2580","KS","164","510","false","true","30","238.8","100","40.6","230","121","19.55","206.3","66","9.28","13.2","8","3.56","1","false","0.17001675041876","0.085","0.0449830344158992","0.26969696969697","Training"
"408","KS","143","408","false","true","24","186.6","69","31.72","222","116","18.87","234.9","138","10.57","11.6","5","3.13","1","false","0.169989281886388","0.085","0.044997871434653","0.269827586206897","Training"
"1505","AZ","134","415","false","true","40","142.9","105","24.29","88.6","61","7.53","290","96","13.05","10.8","6","2.92","1","false","0.169979006298111","0.0849887133182844","0.045","0.27037037037037","Training"
"2283","WV","87","415","false","false","0","124.3","91","21.13","173.4","105","14.74","256.3","109","11.53","7.5","5","2.03","3","false","0.169991954947707","0.0850057670126874","0.044986344127975","0.270666666666667","Training"
"746","TX","130","415","false","false","0","120.5","127","20.49","189.7","52","16.12","270.1","107","12.15","14.3","2","3.86","1","false","0.170041493775934","0.0849762783342119","0.0449833395038874","0.26993006993007","Training"
"1704","NM","93","415","false","false","0","239.8","70","40.77","251.8","99","21.4","168.6","112","7.59","10.9","10","2.94","1","false","0.170016680567139","0.084988085782367","0.045017793594306","0.269724770642202","Training"
"1858","OK","93","415","false","true","32","116.9","120","19.87","232.4","97","19.75","127.7","112","5.75","11","9","2.97","0","false","0.169974337040205","0.0849827882960413","0.0450274079874706","0.27","Training"
"1246","NE","112","415","false","false","0","167.6","100","28.49","154.5","90","13.13","281.4","107","12.66","17.3","3","4.67","2","false","0.169988066825776","0.0849838187702265","0.0449893390191898","0.269942196531792","Training"
"854","OH","114","415","false","false","0","191.5","88","32.56","175.2","78","14.89","220.3","118","9.91","0","0","0","0","false","0.170026109660574","0.0849885844748859","0.0449841125737631","","Training"
"256","ID","173","510","false","true","21","232.4","96","39.51","211.9","118","18.01","273","102","12.29","5","5","1.35","3","false","0.170008605851979","0.0849929211892402","0.045018315018315","0.27","Training"
"585","LA","158","408","false","false","0","202","126","34.34","163.5","86","13.9","195.4","84","8.79","10.4","6","2.81","1","false","0.17","0.0850152905198777","0.0449846468781986","0.270192307692308","Training"
"1639","CT","97","415","false","false","0","215.3","58","36.6","242.4","91","20.6","279.8","105","12.59","12.1","9","3.27","0","false","0.169995355318161","0.084983498349835","0.0449964260185847","0.270247933884298","Training"
"2340","CA","87","415","false","true","19","165.8","122","28.19","186.9","89","15.89","249.7","78","11.24","0","0","0","1","false","0.170024125452352","0.0850187265917603","0.0450140168201842","","Training"
"1073","WV","63","510","false","false","0","132.9","122","22.59","67","62","5.7","160.4","121","7.22","9.9","2","2.67","3","false","0.169977426636569","0.0850746268656716","0.0450124688279302","0.26969696969697","Training"
"1300","CO","74","415","false","false","0","225.2","93","38.28","215.1","120","18.28","241.8","95","10.88","9.1","2","2.46","2","false","0.169982238010657","0.0849837284983729","0.0449958643507031","0.27032967032967","Training"
"2590","MI","142","415","true","false","0","140.8","140","23.94","228.6","119","19.43","152.9","88","6.88","10.9","7","2.94","1","false","0.170028409090909","0.0849956255468066","0.0449967298888162","0.269724770642202","Training"
"2115","NH","141","415","false","true","32","322.4","92","54.81","283.2","107","24.07","209.5","111","9.43","6.7","3","1.81","1","true","0.170006203473945","0.0849929378531074","0.0450119331742243","0.270149253731343","Training"
"46","WY","87","415","false","false","0","151","83","25.67","219.7","116","18.67","203.9","127","9.18","9.7","3","2.62","5","true","0.17","0.0849795175238962","0.0450220696419814","0.270103092783505","Training"
"1239","CA","37","415","false","false","0","191.1","69","32.49","129.2","113","10.98","207.5","117","9.34","12.9","1","3.48","0","false","0.170015698587127","0.084984520123839","0.0450120481927711","0.269767441860465","Training"
"2560","ID","103","415","false","false","0","174.7","151","29.7","148","56","12.58","168.2","109","7.57","15.8","3","4.27","6","true","0.170005724098454","0.085","0.0450059453032105","0.270253164556962","Training"
"825","IN","161","510","false","true","38","240.4","112","40.87","201.8","102","17.15","206.1","112","9.27","16.1","6","4.35","0","false","0.170008319467554","0.0849851337958375","0.0449781659388646","0.270186335403727","Training"
"2331","AR","33","415","true","false","0","164","99","27.88","153.1","102","13.01","123.8","104","5.57","6.4","4","1.73","0","false","0.17","0.0849771391247551","0.0449919224555735","0.2703125","Training"
"310","SD","137","510","false","false","0","242.1","118","41.16","191","93","16.24","218.6","50","9.84","14.7","2","3.97","3","false","0.17001239157373","0.0850261780104712","0.0450137236962489","0.270068027210884","Training"
"939","NE","149","415","false","false","0","156","56","26.52","56","116","4.76","163.3","104","7.35","8.9","8","2.4","0","false","0.17","0.085","0.045009185548071","0.269662921348315","Training"
"14","ID","85","408","false","true","27","196.4","139","33.39","280.9","90","23.88","89.3","75","4.02","13.8","4","3.73","1","false","0.170010183299389","0.0850124599501602","0.04501679731243","0.270289855072464","Training"
"2622","OR","142","510","false","true","22","224.4","114","38.15","146","106","12.41","241.4","98","10.86","8.8","2","2.38","1","false","0.170008912655971","0.085","0.0449875724937862","0.270454545454545","Training"
"1144","VA","77","510","false","false","0","144.9","136","24.63","151.3","115","12.86","252.4","73","11.36","12.3","3","3.32","2","false","0.169979296066253","0.0849966953073364","0.0450079239302694","0.269918699186992","Training"
"1660","MO","109","415","false","false","0","200.1","72","34.02","300.9","120","25.58","236","68","10.62","11.9","5","3.21","0","false","0.170014992503748","0.0850116317713526","0.045","0.269747899159664","Training"
"2371","KY","56","415","true","false","0","177.7","114","30.21","215.6","110","18.33","236.7","67","10.65","10.5","5","2.84","1","false","0.170005627462015","0.0850185528756957","0.0449936628643853","0.27047619047619","Training"
"323","TN","98","415","false","true","22","278.3","89","47.31","93.4","143","7.94","107.6","42","4.84","9.7","5","2.62","0","false","0.1699964067553","0.0850107066381156","0.0449814126394052","0.270103092783505","Training"
"150","NH","19","408","false","false","0","186.1","98","31.64","254.3","57","21.62","214","127","9.63","14.6","7","3.94","2","false","0.170016120365395","0.0850176956350767","0.045","0.26986301369863","Training"
"168","MI","105","510","false","false","0","140.6","109","23.9","178.6","51","15.18","217","83","9.76","6.8","3","1.84","2","false","0.169985775248933","0.0849944008958567","0.0449769585253456","0.270588235294118","Training"
"2383","CT","160","415","false","false","0","234.9","136","39.93","270.8","134","23.02","219.3","101","9.87","13.9","2","3.75","1","true","0.169987228607918","0.0850073855243722","0.0450068399452804","0.26978417266187","Training"
"1833","VT","157","510","false","false","0","168.6","71","28.66","205.1","48","17.43","175.8","88","7.91","5.9","2","1.59","3","false","0.169988137603796","0.0849829351535836","0.0449943117178612","0.269491525423729","Training"
"402","FL","124","415","false","true","28","251.4","104","42.74","225.1","89","19.13","251.9","121","11.34","7.5","5","2.03","1","false","0.170007955449483","0.0849844513549533","0.045017864231838","0.270666666666667","Training"
"2525","SC","104","415","false","false","0","109.1","141","18.55","187.1","140","15.9","216.6","100","9.75","10","4","2.7","3","false","0.170027497708524","0.0849812934259754","0.0450138504155125","0.27","Training"
"1716","MT","100","415","false","false","0","96.5","86","16.41","210.2","133","17.87","146.4","106","6.59","12.5","3","3.38","1","true","0.170051813471503","0.0850142721217888","0.0450136612021858","0.2704","Training"
"2294","MD","125","415","false","false","0","224.9","102","38.23","143.8","87","12.22","198.9","105","8.95","8","2","2.16","0","false","0.169986660738106","0.0849791376912378","0.0449974861739568","0.27","Training"
"17","TX","73","415","false","false","0","224.4","90","38.15","159.5","88","13.56","192.8","74","8.68","13","2","3.51","1","false","0.170008912655971","0.0850156739811912","0.0450207468879668","0.27","Training"
"2327","OR","159","510","false","false","0","114.8","98","19.52","192.6","101","16.37","259","108","11.66","12.2","5","3.29","0","false","0.170034843205575","0.0849948078920042","0.045019305019305","0.269672131147541","Training"
"2205","MS","145","510","true","true","30","175.3","107","29.8","153.3","116","13.03","233.6","85","10.51","11.1","3","3","1","false","0.16999429549344","0.0849967384213959","0.0449914383561644","0.27027027027027","Training"
"1515","CO","118","408","false","false","0","188.8","60","32.1","217.4","64","18.48","220.1","100","9.9","8.2","7","2.21","4","false","0.170021186440678","0.0850045998160074","0.0449795547478419","0.269512195121951","Training"
"1935","IN","57","415","false","false","0","189.3","157","32.18","174.9","70","14.87","221.9","117","9.99","11.2","5","3.02","3","false","0.16999471737982","0.0850200114351058","0.0450202794051374","0.269642857142857","Training"
"2393","NY","46","415","false","false","0","122.2","67","20.77","167.2","62","14.21","194.8","98","8.77","9.7","6","2.62","1","false","0.169967266775777","0.084988038277512","0.0450205338809035","0.270103092783505","Training"
"1870","MO","83","415","false","true","30","272.5","105","46.33","253","83","21.51","180.8","123","8.14","8.7","6","2.35","3","false","0.170018348623853","0.0850197628458498","0.0450221238938053","0.270114942528736","Training"
"1295","ND","84","510","false","false","0","226.9","144","38.57","201.6","122","17.14","130.2","121","5.86","13.2","5","3.56","2","false","0.169986778316439","0.0850198412698413","0.0450076804915515","0.26969696969697","Training"
"478","HI","87","408","false","true","28","151.4","95","25.74","152.4","97","12.95","250.1","109","11.25","0","0","0","1","false","0.17001321003963","0.0849737532808399","0.0449820071971212","","Training"
"346","ME","163","415","false","false","0","122.4","129","20.81","113.4","108","9.64","180.2","97","8.11","12.5","7","3.38","1","false","0.170016339869281","0.0850088183421517","0.0450055493895671","0.2704","Training"
"795","TN","140","415","false","false","0","125.3","84","21.3","167.6","121","14.25","260.6","94","11.73","8.4","4","2.27","1","false","0.16999201915403","0.0850238663484487","0.0450115118956255","0.270238095238095","Training"
"228","AK","48","415","false","true","37","211.7","115","35.99","159.9","84","13.59","144.1","80","6.48","12.2","1","3.29","1","false","0.170004723665564","0.0849906191369606","0.0449687716863289","0.269672131147541","Training"
"761","AR","5","415","false","false","0","199.2","106","33.86","187.3","12","15.92","214","85","9.63","13.3","3","3.59","3","false","0.169979919678715","0.0849973304858516","0.045","0.269924812030075","Training"
"813","AL","67","415","false","true","28","95","94","16.15","291.2","73","24.75","159.6","114","7.18","10","2","2.7","2","false","0.17","0.0849931318681319","0.0449874686716792","0.27","Training"
"981","GA","58","510","false","false","0","243.1","105","41.33","231.4","108","19.67","180.9","120","8.14","7.8","4","2.11","2","false","0.170012340600576","0.0850043215211755","0.0449972360420122","0.27051282051282","Training"
"2432","KY","135","510","false","false","0","144.1","115","24.5","249.8","68","21.23","211.4","82","9.51","13.6","3","3.67","1","false","0.170020818875781","0.0849879903923138","0.0449858088930937","0.269852941176471","Training"
"2156","IA","44","415","false","false","0","308.6","139","52.46","150.8","94","12.82","198.7","66","8.94","7.3","3","1.97","4","true","0.1699935191186","0.0850132625994695","0.0449924509310518","0.26986301369863","Training"
"1666","WY","146","408","false","false","0","109","69","18.53","265.8","98","22.59","228.3","80","10.27","12.6","2","3.4","1","false","0.17","0.0849887133182844","0.0449846692947876","0.26984126984127","Training"
"254","GA","103","415","false","true","28","121","105","20.57","270.4","100","22.98","160.5","76","7.22","7.7","4","2.08","2","false","0.17","0.0849852071005917","0.0449844236760125","0.27012987012987","Training"
"1557","DE","63","408","false","false","0","117.1","118","19.91","249.6","90","21.22","162.2","84","7.3","11.1","4","3","3","false","0.17002561912895","0.0850160256410256","0.0450061652281134","0.27027027027027","Training"
"1622","MS","121","415","false","true","21","126.3","84","21.47","209.6","102","17.82","192.5","129","8.66","10.6","2","2.86","1","false","0.169992082343626","0.0850190839694657","0.044987012987013","0.269811320754717","Training"
"1896","VA","118","408","false","false","0","154.8","71","26.32","244","73","20.74","159.6","81","7.18","12.8","4","3.46","0","false","0.170025839793282","0.085","0.0449874686716792","0.2703125","Training"
"2291","NH","161","415","false","false","0","173.4","100","29.48","213.7","74","18.16","141.5","69","6.37","11.5","4","3.11","1","false","0.170011534025375","0.0849789424426767","0.045017667844523","0.270434782608696","Training"
"1222","PA","128","408","true","false","0","245.2","112","41.68","101.5","101","8.63","152.3","116","6.85","10.7","5","2.89","0","false","0.169983686786297","0.0850246305418719","0.0449770190413657","0.270093457943925","Training"
"286","AK","59","510","false","false","0","182.5","104","31.03","204.7","95","17.4","229.9","100","10.35","11.3","8","3.05","4","false","0.170027397260274","0.0850024425989253","0.0450195737277077","0.269911504424779","Training"
"2631","TN","39","408","false","false","0","187.2","110","31.82","114.7","116","9.75","104.7","83","4.71","13.2","5","3.56","1","false","0.169978632478632","0.0850043591979076","0.0449856733524355","0.26969696969697","Training"
"220","PA","101","415","false","false","0","206.6","105","35.12","224.9","117","19.12","249.9","100","11.25","14.6","3","3.94","0","false","0.16999031945789","0.0850155624722099","0.0450180072028811","0.26986301369863","Training"
"319","WV","43","415","false","false","0","168.4","125","28.63","243.8","89","20.72","214.7","102","9.66","11.1","2","3","1","false","0.170011876484561","0.0849876948318294","0.0449930135072194","0.27027027027027","Training"
"274","WA","55","415","false","false","0","194.1","121","33","176.6","110","15.01","302.8","136","13.63","7","7","1.89","2","false","0.170015455950541","0.0849943374858437","0.0450132100396301","0.27","Training"
"1275","VT","57","415","false","false","0","169.6","96","28.83","234.7","112","19.95","285.4","83","12.84","11.2","4","3.02","0","false","0.16998820754717","0.0850021303792075","0.044989488437281","0.269642857142857","Training"
"1635","UT","104","408","false","false","0","263.4","101","44.78","235.5","117","20.02","102","146","4.59","13","4","3.51","0","false","0.170007593014427","0.0850106157112527","0.045","0.27","Training"
"2451","ND","149","408","false","false","0","175.4","80","29.82","197.4","127","16.78","188.2","102","8.47","9.7","2","2.62","2","false","0.170011402508552","0.0850050658561297","0.0450053134962806","0.270103092783505","Training"
"2047","SC","19","510","false","false","0","259.4","116","44.1","269.7","109","22.92","175.3","130","7.89","9.5","3","2.57","1","true","0.170007710100231","0.0849833147942158","0.0450085567598403","0.270526315789474","Training"
"103","AZ","85","408","false","false","0","201.4","52","34.24","229.4","104","19.5","252.5","106","11.36","12","3","3.24","1","false","0.170009930486594","0.0850043591979076","0.044990099009901","0.27","Training"
"1709","AL","100","415","false","false","0","160.3","138","27.25","221.3","92","18.81","150.4","120","6.77","11.2","2","3.02","0","false","0.169993761696818","0.0849977406235879","0.0450132978723404","0.269642857142857","Training"
"297","CO","154","415","false","false","0","350.8","75","59.64","216.5","94","18.4","253.9","100","11.43","10.1","9","2.73","1","true","0.170011402508552","0.0849884526558891","0.0450177235131942","0.27029702970297","Training"
"665","NV","77","415","false","false","0","239.2","114","40.66","150","115","12.75","160.8","81","7.24","10.3","2","2.78","5","false","0.169983277591973","0.085","0.0450248756218905","0.269902912621359","Training"
"2180","HI","101","415","false","false","0","253.2","89","43.04","237.9","114","20.22","154.3","85","6.94","9.7","7","2.62","4","false","0.16998420221169","0.0849936948297604","0.0449773169151005","0.270103092783505","Training"
"1600","ID","86","415","false","false","0","194.2","98","33.01","193.8","95","16.47","192","123","8.64","9.3","7","2.51","3","false","0.169979402677652","0.084984520123839","0.045","0.26989247311828","Training"
"640","FL","58","510","false","false","0","234.8","89","39.92","106.8","131","9.08","178.5","122","8.03","9.9","6","2.67","0","false","0.170017035775128","0.0850187265917603","0.0449859943977591","0.26969696969697","Training"
"2522","AL","13","415","false","false","0","143.1","139","24.33","239.6","88","20.37","221.7","123","9.98","7.1","5","1.92","2","false","0.170020964360587","0.085016694490818","0.0450157870996843","0.270422535211268","Training"
"1524","GA","71","415","false","false","0","258.4","132","43.93","126.8","119","10.78","182.4","87","8.21","9.7","8","2.62","4","false","0.170007739938081","0.0850157728706625","0.0450109649122807","0.270103092783505","Training"
"2003","ID","67","510","false","true","30","186.2","117","31.65","286.7","76","24.37","164.3","113","7.39","12.9","3","3.48","2","false","0.169978517722879","0.0850017439832578","0.0449786975045648","0.269767441860465","Training"
"1252","VT","94","408","false","false","0","118.7","90","20.18","205.1","57","17.43","172.2","100","7.75","10.4","6","2.81","3","false","0.170008424599832","0.0849829351535836","0.0450058072009292","0.270192307692308","Training"
"1845","NE","34","415","false","false","0","193.7","74","32.93","126.9","84","10.79","221.2","166","9.95","8.8","4","2.38","0","false","0.170005162622612","0.0850275807722616","0.0449819168173599","0.270454545454545","Training"
"31","GA","72","415","false","true","37","220","80","37.4","217.3","102","18.47","152.8","71","6.88","14.7","6","3.97","3","false","0.17","0.0849976990335941","0.0450261780104712","0.270068027210884","Training"
"827","KS","124","415","false","false","0","158.6","104","26.96","211.2","77","17.95","179.3","104","8.07","10.2","8","2.75","3","false","0.169987389659521","0.0849905303030303","0.0450083658672616","0.269607843137255","Training"
"1046","AZ","137","415","false","false","0","141.1","91","23.99","147.2","100","12.51","254.7","75","11.46","8","7","2.16","2","false","0.170021261516655","0.0849864130434783","0.0449941107184923","0.27","Training"
"1114","NV","27","510","false","false","0","177.6","121","30.19","296.8","92","25.23","192.9","106","8.68","7.6","3","2.05","3","false","0.169988738738739","0.0850067385444744","0.0449974079834111","0.269736842105263","Training"
"2518","CT","147","415","false","false","0","124.4","74","21.15","320.9","78","27.28","157.2","126","7.07","10.4","4","2.81","2","false","0.170016077170418","0.0850109068245559","0.0449745547073791","0.270192307692308","Training"
"1810","FL","113","510","false","false","0","92.6","85","15.74","177.6","92","15.1","159.8","72","7.19","14.4","4","3.89","3","false","0.169978401727862","0.0850225225225225","0.0449937421777222","0.270138888888889","Training"
"1762","DE","136","408","true","true","29","85.2","98","14.48","230.4","85","19.58","243.6","104","10.96","9","3","2.43","2","false","0.169953051643192","0.0849826388888889","0.044991789819376","0.27","Training"
"1263","VA","128","415","false","false","0","216","111","36.72","153.7","115","13.06","227","74","10.22","12.7","4","3.43","1","false","0.17","0.0849707221860768","0.0450220264317181","0.27007874015748","Training"
"653","IL","138","510","true","false","0","169.3","82","28.78","217.9","147","18.52","184.2","77","8.29","9.4","9","2.54","1","false","0.169994093325458","0.0849931161083066","0.0450054288816504","0.270212765957447","Training"
"404","MI","109","415","true","true","26","217.2","138","36.92","145.5","111","12.37","280.7","76","12.63","9.3","3","2.51","0","false","0.169981583793739","0.0850171821305842","0.0449946562166014","0.26989247311828","Training"
"371","WA","109","415","false","false","0","184","120","31.28","120.4","119","10.23","153.7","86","6.92","11","3","2.97","0","false","0.17","0.0849667774086379","0.0450227716330514","0.27","Training"
"1478","MA","69","510","false","false","0","195.1","91","33.17","261.5","57","22.23","203.8","90","9.17","11.4","5","3.08","0","false","0.170015376729882","0.0850095602294455","0.0449950932286555","0.270175438596491","Training"
"2175","AL","136","510","false","false","0","109.4","91","18.6","207.5","111","17.64","135","107","6.08","11.6","5","3.13","0","false","0.170018281535649","0.0850120481927711","0.045037037037037","0.269827586206897","Training"
"2227","RI","123","510","false","true","23","245","88","41.65","265","105","22.53","239.7","108","10.79","14.9","3","4.02","2","false","0.17","0.0850188679245283","0.045014601585315","0.269798657718121","Training"
"1433","KY","124","415","false","false","0","194","103","32.98","241","116","20.49","227.5","153","10.24","11.9","5","3.21","0","false","0.17","0.0850207468879668","0.045010989010989","0.269747899159664","Training"
"805","AL","122","415","false","false","0","232.5","96","39.53","205.5","120","17.47","213.7","91","9.62","11.9","2","3.21","0","false","0.170021505376344","0.0850121654501216","0.0450163781001404","0.269747899159664","Training"
"1019","HI","98","415","false","true","31","181.6","112","30.87","220.7","100","18.76","236.3","121","10.63","12.9","4","3.48","2","false","0.169988986784141","0.0850022655188038","0.0449851883199323","0.269767441860465","Training"
"3","NJ","137","415","false","false","0","243.4","114","41.38","121.2","110","10.3","162.6","104","7.32","12.2","5","3.29","0","false","0.170008216926869","0.084983498349835","0.0450184501845018","0.269672131147541","Training"
"2448","MS","103","415","false","false","0","129.3","103","21.98","202.8","89","17.24","233","126","10.49","12.9","2","3.48","2","false","0.16999226604795","0.0850098619329388","0.0450214592274678","0.269767441860465","Training"
"1615","KS","57","415","false","true","37","201.2","76","34.2","280.1","122","23.81","154.2","110","6.94","11.8","1","3.19","1","false","0.169980119284294","0.0850053552302749","0.0450064850843061","0.270338983050847","Training"
"2128","SC","116","408","false","false","0","288","120","48.96","255.8","90","21.74","233.4","99","10.5","13.4","4","3.62","0","true","0.17","0.0849882720875684","0.044987146529563","0.270149253731343","Training"
"1284","NH","149","415","false","false","0","119.2","88","20.26","168.3","110","14.31","204.7","119","9.21","12.2","6","3.29","4","true","0.16996644295302","0.0850267379679144","0.0449926722032242","0.269672131147541","Training"
"1608","NY","104","415","false","true","26","189.1","112","32.15","178.2","97","15.15","199.3","104","8.97","11.1","4","3","1","false","0.170015864621893","0.085016835016835","0.0450075263421977","0.27027027027027","Training"
"1491","TX","92","510","false","false","0","139.8","98","23.77","174.9","143","14.87","201.6","135","9.07","9.4","7","2.54","2","false","0.17002861230329","0.0850200114351058","0.0449900793650794","0.270212765957447","Training"
"133","VA","141","415","false","false","0","217.1","110","36.91","241.5","111","20.53","253.5","103","11.41","12","6","3.24","0","false","0.170013818516813","0.0850103519668737","0.0450098619329389","0.27","Training"
"1885","WV","84","408","false","false","0","86","83","14.62","260.7","86","22.16","98.6","109","4.44","8.9","4","2.4","1","false","0.17","0.0850019179133103","0.0450304259634889","0.269662921348315","Training"
"1267","ND","82","415","false","true","29","163.8","77","27.85","134.9","112","11.47","79.3","95","3.57","8.8","2","2.38","2","false","0.17002442002442","0.0850259451445515","0.0450189155107188","0.270454545454545","Training"
"1945","MN","81","510","false","false","0","145.6","59","24.75","287.9","131","24.47","181.7","121","8.18","9.2","4","2.48","2","false","0.169986263736264","0.0849947898575894","0.0450192625206384","0.269565217391304","Training"
"90","MI","120","408","false","false","0","165","100","28.05","317.2","83","26.96","119.2","86","5.36","8.3","8","2.24","1","false","0.17","0.0849936948297604","0.0449664429530201","0.269879518072289","Training"
"787","MI","45","510","false","true","26","91.7","104","15.59","150.6","119","12.8","63.3","103","2.85","7.7","5","2.08","1","false","0.170010905125409","0.0849933598937583","0.0450236966824645","0.27012987012987","Training"
"1585","CO","89","415","false","false","0","179.7","128","30.55","299.8","92","25.48","185.3","120","8.34","7.6","3","2.05","1","false","0.170005564830273","0.0849899933288859","0.0450080949811117","0.269736842105263","Training"
"706","AZ","87","510","false","false","0","110.9","91","18.85","158.5","115","13.47","207.5","131","9.34","6.2","5","1.67","1","false","0.169972948602344","0.0849842271293376","0.0450120481927711","0.269354838709677","Training"
"449","RI","53","408","false","true","18","146.8","107","24.96","310","84","26.35","178.7","130","8.04","7.2","7","1.94","0","false","0.170027247956403","0.085","0.0449916060436486","0.269444444444444","Training"
